pollutant;metric;vehicle_model_year;vehicle_type;vehicle_fuel_type;emission;unit;n;standarderror;nox_emission_threshold_g_per_kg_fuel;source
NOx;Mittelwert;2007;passenger car;gasoline;1.283451100919071;g/kg fuel;15086;0.03485862716267773;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2007;passenger car;diesel;16.000340476723633;g/kg fuel;6181;0.14779404239498625;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2007;light duty vehicle;gasoline;2.3087493061891178;g/kg fuel;289;0.4905050186301885;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2007;light duty vehicle;diesel;19.689717344727356;g/kg fuel;1333;0.36223419164355397;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2008;passenger car;gasoline;1.1127689514028052;g/kg fuel;10942;0.041079774260424806;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2008;passenger car;diesel;17.209380618217743;g/kg fuel;5545;0.156670292205903;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2008;light duty vehicle;gasoline;0.5349960915345648;g/kg fuel;498;0.07661416017651514;1.4;Kanton Zürich/AWEL
NOx;Mittelwert;2008;light duty vehicle;diesel;22.935018146978315;g/kg fuel;593;0.6384011635443824;4.4;Kanton Zürich/AWEL
NOx;Mittelwert;2009;passenger car;gasoline;0.9794981022702147;g/kg fuel;15658;0.03294648935225674;1;Kanton Zürich/AWEL
NOx;Mittelwert;2009;passenger car;diesel;15.90370848300952;g/kg fuel;6608;0.1416353102516954;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2009;light duty vehicle;gasoline;0.9834639714859633;g/kg fuel;211;0.18351435089456297;1;Kanton Zürich/AWEL
NOx;Mittelwert;2009;light duty vehicle;diesel;21.05554240882112;g/kg fuel;1638;0.32351277905627107;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2010;passenger car;gasoline;0.9572646263651353;g/kg fuel;16617;0.029582992056407607;1;Kanton Zürich/AWEL
NOx;Mittelwert;2010;passenger car;diesel;16.397314577494296;g/kg fuel;8420;0.13488051899177003;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2010;light duty vehicle;gasoline;1.207958130201722;g/kg fuel;513;0.18497340010534064;1;Kanton Zürich/AWEL
NOx;Mittelwert;2010;light duty vehicle;diesel;21.68572015282395;g/kg fuel;1902;0.3141371527274706;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2011;passenger car;gasoline;0.8988045933902367;g/kg fuel;11641;0.034559240585661545;1;Kanton Zürich/AWEL
NOx;Mittelwert;2011;passenger car;diesel;15.28085113867004;g/kg fuel;9199;0.1290615556723332;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2011;light duty vehicle;gasoline;0.6756283746801834;g/kg fuel;417;0.0895385201127904;1;Kanton Zürich/AWEL
NOx;Mittelwert;2011;light duty vehicle;diesel;21.23050004885579;g/kg fuel;2492;0.2647332608603975;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2012;passenger car;gasoline;1.3350924098654289;g/kg fuel;13822;0.04684238587636121;1;Kanton Zürich/AWEL
NOx;Mittelwert;2012;passenger car;diesel;15.986904055395575;g/kg fuel;9812;0.13103336198784252;3.5;Kanton Zürich/AWEL
NOx;Mittelwert;2012;light duty vehicle;gasoline;0.8271362598261313;g/kg fuel;259;0.10256334468525502;1;Kanton Zürich/AWEL
NOx;Mittelwert;2012;light duty vehicle;diesel;24.539231562303105;g/kg fuel;2984;0.29613555585919354;3.5;Kanton Zürich/AWEL
