year;pollutant;metric;parameter;outcome_type;population;scenario;outcome;outcome_lower;outcome_upper;outcome_delta_min_conc
2014;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1450433;tatsächliche Belastung;3199.5643929563175;496.1719009718341;5620.251686668302;0
2014;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1450433;vermieden vs. 2015;-1350.8985641426798;-210.2413475004235;-2365.1432807128513;0
2014;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1450433;tatsächliche Belastung;5295.495645154222;2772.853948404852;7799.220092491681;0
2014;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1450433;vermieden vs. 2015;-916.6871727336402;-481.3501895664981;-1346.242033162588;0
2015;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1470623;tatsächliche Belastung;6638.867548640575;3880.6675505867356;9474.467528490826;0
2015;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1470623;vermieden vs. 2015;0;NA;NA;0
2015;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1470623;tatsächliche Belastung;4636.528355141348;719.6478580554635;8137.78426188618;0
2015;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1470623;vermieden vs. 2015;0;NA;NA;0
2015;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1470575;tatsächliche Belastung;6333.075557223253;3317.07292005644;9324.787263410164;0
2015;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1470575;vermieden vs. 2015;0;NA;NA;0
2016;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1492114;tatsächliche Belastung;5402.774786316785;3156.977842303984;7713.312810533714;0
2016;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1492114;vermieden vs. 2015;-1109.177654066746;-649.7547020806919;-1579.3201869616778;0
2016;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1492114;tatsächliche Belastung;3169.0782176035136;491.4014044518264;5567.128380212017;0
2016;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1492114;vermieden vs. 2015;-1376.3430110150339;-214.16283246675113;-2410.061686333276;0
2016;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1492070;tatsächliche Belastung;5283.855126880199;2766.5835115018485;7782.551807483118;0
2016;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1492070;vermieden vs. 2015;-926.6243686085963;-486.505679741676;-1361.0005908743678;0
2017;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1508454;tatsächliche Belastung;5232.579526924629;3057.261547705184;7471.021795030951;0
2017;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1508454;vermieden vs. 2015;-1359.245888227283;-796.1746693657051;-1935.5692539108677;0
2017;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1508454;tatsächliche Belastung;3828.2190648611863;593.8900083880551;6722.123259739222;0
2017;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1508454;vermieden vs. 2015;-771.4780942655966;-120.10212732547586;-1350.3010293175557;0
2017;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1508411;tatsächliche Belastung;5366.423854825801;2809.8463458374367;7904.085010135723;0
2017;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1508411;vermieden vs. 2015;-918.6873137557932;-482.3446147116065;-1349.3291688984427;0
2018;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1525108;tatsächliche Belastung;4458.041936442194;2603.8791348919813;6367.286819786695;0
2018;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1525108;vermieden vs. 2015;-2232.167313789445;-1307.0560826683627;-3179.695013538386;0
2018;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1525108;tatsächliche Belastung;5697.860994019382;885.132574217849;9992.502311832735;0
2018;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1525108;vermieden vs. 2015;0;NA;NA;0
2018;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1525059;tatsächliche Belastung;6709.464376601075;3514.9578365766874;9876.729532812697;0
2018;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1525059;vermieden vs. 2015;0;NA;NA;0
2019;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1543433;tatsächliche Belastung;4011.1152257066133;2342.3203887175678;5730.269600118529;0
2019;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1543433;vermieden vs. 2015;-2787.9652598812627;-1632.0603113767875;-3972.5551819529646;0
2019;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1543433;tatsächliche Belastung;4675.427684672488;725.6515125841597;8206.243269716195;0
2019;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1543433;vermieden vs. 2015;-62.39047876393488;-9.716519788371784;-109.15805593567165;0
2019;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1543384;tatsächliche Belastung;5186.3488492810875;2715.026938982385;7640.339730310733;0
2019;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1543384;vermieden vs. 2015;-1291.8221581103217;-678.0827830848248;-1897.8313522415347;0
2020;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1557640;tatsächliche Belastung;2363.9662859249606;1379.8341164544554;3378.751900727599;0
2020;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1557640;vermieden vs. 2015;-4301.91714160883;-2517.983473495485;-6130.7415640763375;0
2020;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1557640;tatsächliche Belastung;4062.882831740081;630.5991926334011;7131.026531941213;0
2020;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1557640;vermieden vs. 2015;-587.3281769802506;-91.51444481836677;-1027.1516431163554;0
2020;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1557640;tatsächliche Belastung;3993.7697143227783;2090.2386057346757;5884.878754340065;0
2020;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1557640;vermieden vs. 2015;-2361.1585619029224;-1239.5352456417027;-3468.4517394424347;0
2021;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1568891;tatsächliche Belastung;2342.56598301337;1367.3537649106252;3348.1353809750535;0
2021;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1568891;vermieden vs. 2015;-4438.682781219176;-2598.337151246828;-6324.831059414039;0
2021;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1568891;tatsächliche Belastung;3556.473869202301;551.7948231384332;6244.298920544443;0
2021;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1568891;vermieden vs. 2015;-1179.6695609950912;-183.76850016668607;-2063.4733791776453;0
2021;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1568891;tatsächliche Belastung;4248.3176672371155;2223.8135451533335;6258.945995428073;0
2021;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1568891;vermieden vs. 2015;-2220.968333943826;-1166.2703890464809;-3261.5358359105494;0
2022;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1584177;tatsächliche Belastung;2156.5408722979837;1258.632276829108;3082.6120234817054;0
2022;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1584177;vermieden vs. 2015;-4743.48576482874;-2776.2718797856155;-6760.4558535548995;0
2022;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1584177;tatsächliche Belastung;5039.610398465819;782.7734029240785;8839.313849756596;0
2022;O3;mittlere Sommertagbelastung;O3_peakseason_mean_d1_max_mean_h8gl;verlorene Lebensjahre;1584177;vermieden vs. 2015;0;NA;NA;0
2022;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1584177;tatsächliche Belastung;5001.371176431988;2618.727729127959;7366.35342194068;0
2022;PM2.5;Jahresmittel;PM2.5;verlorene Lebensjahre;1584177;vermieden vs. 2015;-1580.3263135310453;-830.0322991447242;-2320.256831730253;0
2023;NO2;Jahresmittel;NO2;verlorene Lebensjahre;1609642;tatsächliche Belastung;1370.7011063263315;799.7131161457634;1960.014697217487;0
