year;site;site_long;siteclass;ecosystem_category;component;metric;deposition;unit;source;critical_load_min;critical_load_single;critical_load_max;estimate
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.638891486;kg-N/ha/a;Ostluft;15;15;25;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.03905594;kg-N/ha/a;Ostluft;15;15;25;gemessen
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.747928979000001;kg-N/ha/a;Ostluft;5;10;20;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.478120187000002;kg-N/ha/a;Ostluft;5;10;20;NA
2012;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;30.22604916;kg-N/ha/a;Ostluft;5;10;20;gemessen
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.767668941;kg-N/ha/a;Ostluft;15;15;25;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.398425537;kg-N/ha/a;Ostluft;15;15;25;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.16609448;kg-N/ha/a;Ostluft;15;15;25;gemessen
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;9.273327588;kg-N/ha/a;Ostluft;5;10;20;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;20.585264261;kg-N/ha/a;Ostluft;5;10;20;NA
2013;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;29.85859185;kg-N/ha/a;Ostluft;5;10;20;gemessen
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.612183089;kg-N/ha/a;Ostluft;15;15;25;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.635644942;kg-N/ha/a;Ostluft;15;15;25;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.24782803;kg-N/ha/a;Ostluft;15;15;25;gemessen
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.941082661;kg-N/ha/a;Ostluft;5;10;20;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.684067017;kg-N/ha/a;Ostluft;5;10;20;NA
2014;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;31.62514968;kg-N/ha/a;Ostluft;5;10;20;gemessen
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.810171002;kg-N/ha/a;Ostluft;15;15;25;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;12.944468749;kg-N/ha/a;Ostluft;15;15;25;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;18.75463975;kg-N/ha/a;Ostluft;15;15;25;gemessen
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.1081931659999995;kg-N/ha/a;Ostluft;5;10;20;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.510050354;kg-N/ha/a;Ostluft;5;10;20;NA
2015;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;28.61824351;kg-N/ha/a;Ostluft;5;10;20;gemessen
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;6.594544774;kg-N/ha/a;Ostluft;15;15;25;NA
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;13.443287035000001;kg-N/ha/a;Ostluft;15;15;25;NA
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;20.03783181;kg-N/ha/a;Ostluft;15;15;25;gemessen
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.819195532;kg-N/ha/a;Ostluft;5;10;20;NA
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;21.10630338;kg-N/ha/a;Ostluft;5;10;20;NA
2016;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;28.92549891;kg-N/ha/a;Ostluft;5;10;20;gemessen
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;7.0450440620000006;kg-N/ha/a;Ostluft;15;15;25;NA
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;14.887774009;kg-N/ha/a;Ostluft;15;15;25;NA
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;21.93281807;kg-N/ha/a;Ostluft;15;15;25;gemessen
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;8.261950681;kg-N/ha/a;Ostluft;5;10;20;NA
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;23.402912354999998;kg-N/ha/a;Ostluft;5;10;20;NA
2017;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;31.66486304;kg-N/ha/a;Ostluft;5;10;20;gemessen
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.464717528;kg-N/ha/a;Ostluft;15;15;25;NA
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;17.741991384;kg-N/ha/a;Ostluft;15;15;25;NA
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;N-Deposition;Jahreseintrag;23.20670892;kg-N/ha/a;Ostluft;15;15;25;gemessen
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NOx-Quellen;Jahreseintrag;6.737716464;kg-N/ha/a;Ostluft;5;10;20;NA
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;aus NH3-Quellen;Jahreseintrag;30.591148217999997;kg-N/ha/a;Ostluft;5;10;20;NA
2018;BA;Hinwil-Bachtel Sennenberg;hoch;Wald;N-Deposition;Jahreseintrag;37.32886468;kg-N/ha/a;Ostluft;5;10;20;gemessen
2019;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NOx-Quellen;Jahreseintrag;5.147228262;kg-N/ha/a;Ostluft;5;5;10;NA
2019;AEG;Knonau-Ägelsee;hoch;Hochmoor;aus NH3-Quellen;Jahreseintrag;15.972867682;kg-N/ha/a;Ostluft;5;5;10;NA
2019;AEG;Knonau-Ägelsee;hoch;Hochmoor;N-Deposition;Jahreseintrag;21.12009595;kg-N/ha/a;Ostluft;5;5;10;gemessen
2019;AEG;Knonau-Ägelsee;hoch;Wald;aus NOx-Quellen;Jahreseintrag;7.212614480999999;kg-N/ha/a;Ostluft;5;10;20;NA
2019;AEG;Knonau-Ägelsee;hoch;Wald;aus NH3-Quellen;Jahreseintrag;19.636523960999998;kg-N/ha/a;Ostluft;5;10;20;NA
2019;AEG;Knonau-Ägelsee;hoch;Wald;N-Deposition;Jahreseintrag;26.84913845;kg-N/ha/a;Ostluft;5;10;20;gemessen
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NOx-Quellen;Jahreseintrag;5.51014807;kg-N/ha/a;Ostluft;15;15;25;NA
2019;BA;Hinwil-Bachtel Sennenberg;hoch;Trockenrasen;aus NH3-Quellen;Jahreseintrag;16.694874335999998;kg-N/ha/a;Ostluft;15;15;25;NA
