year;pollutant;parameter;value
2000;Stickstoxide NO2 | NOx;relative Emission;NA
2001;Stickstoxide NO2 | NOx;relative Emission;NA
2002;Stickstoxide NO2 | NOx;relative Emission;NA
2003;Stickstoxide NO2 | NOx;relative Emission;NA
2004;Stickstoxide NO2 | NOx;relative Emission;NA
2005;Stickstoxide NO2 | NOx;relative Emission;NA
2006;Stickstoxide NO2 | NOx;relative Emission;NA
2007;Stickstoxide NO2 | NOx;relative Emission;NA
2008;Stickstoxide NO2 | NOx;relative Emission;NA
2009;Stickstoxide NO2 | NOx;relative Emission;NA
2010;Stickstoxide NO2 | NOx;relative Emission;NA
2011;Stickstoxide NO2 | NOx;relative Emission;NA
2012;Stickstoxide NO2 | NOx;relative Emission;NA
2013;Stickstoxide NO2 | NOx;relative Emission;NA
2014;Stickstoxide NO2 | NOx;relative Emission;NA
2015;Stickstoxide NO2 | NOx;relative Emission;0
2016;Stickstoxide NO2 | NOx;relative Emission;NA
2017;Stickstoxide NO2 | NOx;relative Emission;NA
2018;Stickstoxide NO2 | NOx;relative Emission;NA
2019;Stickstoxide NO2 | NOx;relative Emission;NA
2020;Stickstoxide NO2 | NOx;relative Emission;-0.31934004397116955
2021;Stickstoxide NO2 | NOx;relative Emission;-0.3267196527970867
2022;Stickstoxide NO2 | NOx;relative Emission;NA
2023;Stickstoxide NO2 | NOx;relative Emission;NA
2024;Stickstoxide NO2 | NOx;relative Emission;NA
1990;Feinstaub PM10;relative Emission;NA
1991;Feinstaub PM10;relative Emission;NA
1992;Feinstaub PM10;relative Emission;NA
1993;Feinstaub PM10;relative Emission;NA
1994;Feinstaub PM10;relative Emission;NA
1995;Feinstaub PM10;relative Emission;NA
1996;Feinstaub PM10;relative Emission;NA
1997;Feinstaub PM10;relative Emission;NA
1998;Feinstaub PM10;relative Emission;NA
1999;Feinstaub PM10;relative Emission;NA
2000;Feinstaub PM10;relative Emission;NA
2001;Feinstaub PM10;relative Emission;NA
2002;Feinstaub PM10;relative Emission;NA
2003;Feinstaub PM10;relative Emission;NA
2004;Feinstaub PM10;relative Emission;NA
2005;Feinstaub PM10;relative Emission;NA
2006;Feinstaub PM10;relative Emission;NA
2007;Feinstaub PM10;relative Emission;NA
2008;Feinstaub PM10;relative Emission;NA
2009;Feinstaub PM10;relative Emission;NA
2010;Feinstaub PM10;relative Emission;NA
2011;Feinstaub PM10;relative Emission;NA
2012;Feinstaub PM10;relative Emission;NA
2013;Feinstaub PM10;relative Emission;NA
2014;Feinstaub PM10;relative Emission;NA
2015;Feinstaub PM10;relative Emission;0
2016;Feinstaub PM10;relative Emission;NA
2017;Feinstaub PM10;relative Emission;NA
2018;Feinstaub PM10;relative Emission;NA
2019;Feinstaub PM10;relative Emission;NA
2020;Feinstaub PM10;relative Emission;-0.09152608069257306
2021;Feinstaub PM10;relative Emission;-0.0816031673545573
2022;Feinstaub PM10;relative Emission;NA
2023;Feinstaub PM10;relative Emission;NA
2024;Feinstaub PM10;relative Emission;NA
1990;Feinstaub PM2.5;relative Emission;NA
1991;Feinstaub PM2.5;relative Emission;NA
1992;Feinstaub PM2.5;relative Emission;NA
1993;Feinstaub PM2.5;relative Emission;NA
1994;Feinstaub PM2.5;relative Emission;NA
1995;Feinstaub PM2.5;relative Emission;NA
1996;Feinstaub PM2.5;relative Emission;NA
1997;Feinstaub PM2.5;relative Emission;NA
1998;Feinstaub PM2.5;relative Emission;NA
1999;Feinstaub PM2.5;relative Emission;NA
2000;Feinstaub PM2.5;relative Emission;NA
2001;Feinstaub PM2.5;relative Emission;NA
2002;Feinstaub PM2.5;relative Emission;NA
2003;Feinstaub PM2.5;relative Emission;NA
2004;Feinstaub PM2.5;relative Emission;NA
2005;Feinstaub PM2.5;relative Emission;NA
2006;Feinstaub PM2.5;relative Emission;NA
2007;Feinstaub PM2.5;relative Emission;NA
2008;Feinstaub PM2.5;relative Emission;NA
2009;Feinstaub PM2.5;relative Emission;NA
2010;Feinstaub PM2.5;relative Emission;NA
2011;Feinstaub PM2.5;relative Emission;NA
2012;Feinstaub PM2.5;relative Emission;NA
2013;Feinstaub PM2.5;relative Emission;NA
2014;Feinstaub PM2.5;relative Emission;NA
2015;Feinstaub PM2.5;relative Emission;0
2016;Feinstaub PM2.5;relative Emission;NA
2017;Feinstaub PM2.5;relative Emission;NA
2018;Feinstaub PM2.5;relative Emission;NA
2019;Feinstaub PM2.5;relative Emission;NA
2020;Feinstaub PM2.5;relative Emission;-0.14856910679554935
2021;Feinstaub PM2.5;relative Emission;-0.15286908017222756
2022;Feinstaub PM2.5;relative Emission;NA
2023;Feinstaub PM2.5;relative Emission;NA
2024;Feinstaub PM2.5;relative Emission;NA
