year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2005;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.3823481404799998;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9467233344000026;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2008;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.7333050261890904;kg/ha/a;0.0018947879330943884;aus NOx-Quellen;Denuder;FUB;Ostluft
2009;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;7.086971994664236;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2011;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9854420424613269;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2011;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;HNO3-N_gdep;1.1598325848000064;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2013;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;1.0603273593600027;kg/ha/a;1;aus NH3-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2013;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_adep;0.23553923828400117;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7358765408494599;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2015;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;11.503333142486005;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2015;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.41973030324655425;kg/ha/a;0.33333333333333337;aus NH3-Quellen;Denuder, GAM.log(NH4-N_conc).2026-04-30;FUB, Ostluft;Ostluft
2015;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.664083005102777;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2015;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.9867680000000003;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2016;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.2768379555111934;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2016;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH3-N_gdep;8.125747126553893;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2018;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.760915161994396;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2019;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH3-N_gdep;8.22552101851972;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2020;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;7.918609687796915;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2020;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.3282661834650644;kg/ha/a;9.333930704902293e-6;aus NH3-Quellen;Denuder;FUB;Ostluft
2020;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.6848749127492829;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2020;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;4.3402020206621605;kg/ha/a;-0.6689435234966148;aus NOx-Quellen;PS;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.18950392516754255;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2021;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9047915218201124;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;9.111413740432711;kg/ha/a;0.01190076164874554;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9154525125158389;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2022;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.26856701563269636;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2024;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.29074192657618464;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.29300610914817926;kg/ha/a;0.003211805555555558;aus NOx-Quellen;Denuder;FUB;Ostluft
2024;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.14031047177720307;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2024;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.28062094355440614;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2024;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH3-N_gdep;6.152996277548837;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.5644351523448011;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2025;WAB;ZH;2677272;1271915;427;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.3125756255257;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2001;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7282650463545733;kg/ha/a;1;aus NOx-Quellen;Schätzung: y1 Bachtel Turm / 0.88;FUB;Ostluft
2003;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;1.7907992971893052;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2004;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.3823481404799998;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2008;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH3-N_gdep;11.544874311026993;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2010;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.8908609568604648;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2010;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.7244235475200015;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2011;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.8328144665382069;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2012;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.6632191204205826;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2013;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;2.007163565217392;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2013;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_adep;0.3479348273760012;kg/ha/a;1;aus NH3-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2014;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;6.278965364402502;kg/ha/a;-9.333930705013316e-6;aus NOx-Quellen;PS;Ostluft;Ostluft
2016;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.9619474919422507;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2016;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;HNO3-N_gdep;2.207945324811539;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2017;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO3-N_adep;0.329780012898589;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.19831752852849874;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.8212438254574654;kg/ha/a;3.5468936678617613e-4;aus NOx-Quellen;Denuder;FUB;Ostluft
2019;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.3413660103375311;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.699197233273989;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2020;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.3741907502057698;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2020;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.2631308217933041;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;11.194042779157947;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.43603076439419347;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2022;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;8.72261826754605;kg/ha/a;0.00971662186379929;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2022;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.1131712345590754;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;7.122020518206382;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.41172743467348155;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2024;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9175955080568675;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9211424092981102;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;RIH;ZH;2695937;1242440;437;Flachmoor;5;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.9351536665844222;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7208729798895208;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;2.7157687916366218;kg/ha/a;0.16705246913580252;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2025;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.3509834287842794;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2025;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.4236414459727438;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2025;WAB;ZH;2677272;1271915;427;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;8.820519449039313;kg/ha/a;0.017295773596176844;aus NH3-Quellen;Gapfilling (Abdeckung ≥ 0.7), PS;Ostluft;Ostluft
2025;ZUK;ZH;2679889;1253923;439;Hochmoor;5;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.3585438991271384;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2001;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.5876706800323507;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2001;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.8286176638456653;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2006;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7995237585068448;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;1.3461407393842726;kg/ha/a;0.09633487654320982;aus NH3-Quellen;Denuder, Gapfilling (Abdeckung ≥ 0.7);FUB, Ostluft;Ostluft
2008;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NO2-N_gdep;7.587204914153921;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2009;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.2223145462400002;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;6.203602555604123;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;6.272040520654601;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2012;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.3420754070400016;kg/ha/a;1;aus NOx-Quellen;Schätzwert y1 (Datenstand 2024);FUB;Ostluft
2013;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.7681873747355453;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2014;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.0935749922773368;kg/ha/a;0.002845293209876587;aus NOx-Quellen;Denuder;FUB;Ostluft
2014;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.29912331333036635;kg/ha/a;0.002845293209876587;aus NOx-Quellen;Denuder;FUB;Ostluft
2015;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.0274446968613007;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2015;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;NO3-N_adep;0.30518280221537947;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2016;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.6156991194947492;kg/ha/a;2.800179211470688e-5;aus NOx-Quellen;Denuder;FUB;Ostluft
2016;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_adep;0.6674082063214202;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2019;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;3.20114378580048;kg/ha/a;0.0015867682198327238;aus NOx-Quellen;PS;Ostluft;Ostluft
2019;KAP;ZH;2680066;1230326;527;kein empf. Ökosys.;NA;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.9691326624269546;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2019;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_adep;0.3883359840524465;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;9.98421695720135;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2019;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;2.0617270204032763;kg/ha/a;0.08333333333333337;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2020;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH3-N_gdep;9.80686690680813;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2020;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.2535633279923728;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2020;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;HNO3-N_gdep;0.9088166653651009;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2020;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;HNO3-N_gdep;1.9158129134030062;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO2-N_gdep;1.2900693489919353;kg/ha/a;0.5;aus NOx-Quellen;Kurzeitbelastungskarte, PS;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;HNO3-N_gdep;0.6215801972941731;kg/ha/a;0.08755787037037033;aus NOx-Quellen;Denuder, GAM.log(HNO3N_conc).2026-04-30;FUB, Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH3-N_gdep;6.207209954610218;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.4711957755800772;kg/ha/a;0.08755787037037033;aus NOx-Quellen;Denuder, GAM.log(NO3-N_conc).2026-04-30;FUB, Ostluft;Ostluft
2021;WAB;ZH;2677272;1271915;427;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;3.042938347826087;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.38788641699126786;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Wald;6;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;4.2998650434782615;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2021;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.26238604178474667;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;HNO3-N_gdep;0.9485232420582246;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2022;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.2842998043068435;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2022;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.44034139117267496;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2022;NET;ZH;2678603;1262147;409;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_adep;0.2727799662786673;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.0033602593008153;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;HNO3-N_gdep;1.3378136790677535;kg/ha/a;1;aus NOx-Quellen;GAM.log(HNO3N_conc).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;7.8118260740566;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;10.415768098742133;kg/ha/a;0;aus NH3-Quellen;PS;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.0557704347826087;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2022;TAB;ZH;2707669;1252229;646;Wald;6;mittel;mittel;Ndep;Jahressumme;NO3-N_adep;0.5514597003032764;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_conc).2026-04-30;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;0.9690945138574307;kg/ha/a;0;aus NOx-Quellen;PS;Ostluft;Ostluft
2023;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_adep;0.37837172018244764;kg/ha/a;0;aus NOx-Quellen;Denuder;FUB;Ostluft
2024;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH4-N_adep;0.5165770178265933;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2024;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.1948159902876083;kg/ha/a;0;aus NH3-Quellen;Denuder;FUB;Ostluft
2024;BUE;ZH;2704475;1234943;494;Hochmoor;5;hoch;mittel;Ndep;Jahressumme;NH4-N_adep;0.32379868730605127;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2024;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO2-N_gdep;1.5200694782608701;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2024;RIH;ZH;2695937;1242440;437;Flachmoor;5;mittel;mittel;Ndep;Jahressumme;NO2-N_gdep;1.5416647826086958;kg/ha/a;1;aus NOx-Quellen;Kurzeitbelastungskarte;Ostluft;Ostluft
2024;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_adep;0.2853836944990868;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_conc).2026-04-30;Ostluft;Ostluft
2024;TAB;ZH;2707669;1252229;646;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH3-N_gdep;4.449249663663513;kg/ha/a;0.006729764038231778;aus NH3-Quellen;PS;Ostluft;Ostluft
