year;site;canton;x;y;masl;ecosys;cln;siteclass;emissionclass;pollutant;metric;parameter;deposition;unit;part_est;source_cat;sampling;datasource;source
2025;WIH;ZH;2693935;1261383;516;Trockenrasen;10;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;5.158410941386427;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2007;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.920019687304523;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2010;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.375232828808485;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2013;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;5.608127220350789;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2016;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;4.8972589455527;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2017;WIE;ZH;2681950;1247250;415;Siedlungen;NA;NA;tief;Ndep;Jahressumme;NH4-N_bdep;6.626437967827989;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2018;BA;ZH;2710350;1239600;930;Wald;6;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;6.644992958846408;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;FUB;Ostluft
2018;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.6504347760997917;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;FUB;Ostluft
2019;AEG;ZH;2675521;1232695;447;Hochmoor;5;hoch;hoch;Ndep;Jahressumme;NO3-N_bdep;2.5834607000454;kg/ha/a;0.0015867682198327238;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2019;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;3.978628377367927;kg/ha/a;0;aus NOx-Quellen;Bulk Dep PS;Ostluft;Ostluft
2020;OBI;ZH;2672488;1236902;383;Flachmoor;15;hoch;mittel;Ndep;Jahressumme;NO3-N_bdep;2.4447812641751403;kg/ha/a;1;aus NOx-Quellen;GAM.log(NO3-N_bdep).2026-04-30;Ostluft;Ostluft
2020;ROPF;ZH;2701636;1244049;538;Hochmoor;5;mittel;tief;Ndep;Jahressumme;NH4-N_bdep;5.807135453433189;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;AEG;ZH;2675521;1232695;447;Wald;6;hoch;hoch;Ndep;Jahressumme;NH4-N_bdep;4.9110998921586955;kg/ha/a;0.08333333333333337;aus NH3-Quellen;Bulk Dep PS, GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2021;BA;ZH;2710350;1239600;930;Trockenrasen;10;hoch;mittel;Ndep;Jahressumme;NH4-N_bdep;5.922291517938613;kg/ha/a;0;aus NH3-Quellen;Bulk Dep PS;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Flachmoor;15;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;4.6279067177065905;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
2022;OSD;ZH;2694191;1275542;410;Wald;6;mittel;mittel;Ndep;Jahressumme;NH4-N_bdep;4.6279067177065905;kg/ha/a;1;aus NH3-Quellen;GAM.log(NH4-N_bdep).2026-04-30;Ostluft;Ostluft
