year;pollutant;type;n;reference_year;site;parameter;value
1995;Stickoxide | Stickstoffdioxid;Messwerte;18;2015;Kanton Zürich;relative Immission;1.5030527692978632
1996;Stickoxide | Stickstoffdioxid;Messwerte;18;2015;Kanton Zürich;relative Immission;1.559092891408635
1997;Stickoxide | Stickstoffdioxid;Messwerte;18;2015;Kanton Zürich;relative Immission;1.5080195547317925
1998;Stickoxide | Stickstoffdioxid;Messwerte;18;2015;Kanton Zürich;relative Immission;1.532805013301352
1999;Stickoxide | Stickstoffdioxid;Messwerte;34;2015;Kanton Zürich;relative Immission;1.514391626689926
2000;Stickoxide | Stickstoffdioxid;Messwerte;21;2015;Kanton Zürich;relative Immission;1.4160488443087658
2001;Stickoxide | Stickstoffdioxid;Messwerte;23;2015;Kanton Zürich;relative Immission;1.4108155255124293
2002;Stickoxide | Stickstoffdioxid;Messwerte;37;2015;Kanton Zürich;relative Immission;1.1251635080680331
2003;Stickoxide | Stickstoffdioxid;Messwerte;35;2015;Kanton Zürich;relative Immission;1.3519406890536416
2004;Stickoxide | Stickstoffdioxid;Messwerte;58;2015;Kanton Zürich;relative Immission;1.136284343654601
2005;Stickoxide | Stickstoffdioxid;Messwerte;36;2015;Kanton Zürich;relative Immission;1.2248146532926298
2006;Stickoxide | Stickstoffdioxid;Messwerte;37;2015;Kanton Zürich;relative Immission;1.3412996075010903
2007;Stickoxide | Stickstoffdioxid;Messwerte;86;2015;Kanton Zürich;relative Immission;0.966201482773659
2008;Stickoxide | Stickstoffdioxid;Messwerte;89;2015;Kanton Zürich;relative Immission;1.0247607278674227
2009;Stickoxide | Stickstoffdioxid;Messwerte;82;2015;Kanton Zürich;relative Immission;1.0169306879633668
2010;Stickoxide | Stickstoffdioxid;Messwerte;95;2015;Kanton Zürich;relative Immission;1.026602703881378
2011;Stickoxide | Stickstoffdioxid;Messwerte;98;2015;Kanton Zürich;relative Immission;0.962370665721762
2012;Stickoxide | Stickstoffdioxid;Messwerte;99;2015;Kanton Zürich;relative Immission;0.9572612298299171
2013;Stickoxide | Stickstoffdioxid;Messwerte;61;2015;Kanton Zürich;relative Immission;1.0789716362843436
2014;Stickoxide | Stickstoffdioxid;Messwerte;71;2015;Kanton Zürich;relative Immission;0.9555167902311382
2015;Stickoxide | Stickstoffdioxid;Messwerte;81;2015;Kanton Zürich;relative Immission;1
2016;Stickoxide | Stickstoffdioxid;Messwerte;76;2015;Kanton Zürich;relative Immission;0.9387265590928914
2017;Stickoxide | Stickstoffdioxid;Messwerte;99;2015;Kanton Zürich;relative Immission;0.9140863497601396
2018;Stickoxide | Stickstoffdioxid;Messwerte;89;2015;Kanton Zürich;relative Immission;0.85041430440471
2019;Stickoxide | Stickstoffdioxid;Messwerte;77;2015;Kanton Zürich;relative Immission;0.8853030963802879
2020;Stickoxide | Stickstoffdioxid;Messwerte;83;2015;Kanton Zürich;relative Immission;0.7566506759703446
2021;Stickoxide | Stickstoffdioxid;Messwerte;63;2015;Kanton Zürich;relative Immission;0.7767117313563018
2022;Stickoxide | Stickstoffdioxid;Messwerte;53;2015;Kanton Zürich;relative Immission;0.8935891844744875
2023;Stickoxide | Stickstoffdioxid;Messwerte;50;2015;Kanton Zürich;relative Immission;0.735281290885303
2024;Stickoxide | Stickstoffdioxid;Messwerte;74;2015;Kanton Zürich;relative Immission;0.6559092891408634
1995;Feinstaub PM10;Messwerte;0;2015;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM10;Messwerte;0;2015;Kanton Zürich;relative Immission;NA
1997;Feinstaub PM10;Messwerte;2;2015;Kanton Zürich;relative Immission;NA
1998;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;1.6193841233276887
1999;Feinstaub PM10;Messwerte;4;2015;Kanton Zürich;relative Immission;1.5109001722174518
2000;Feinstaub PM10;Messwerte;4;2015;Kanton Zürich;relative Immission;1.3495351621457308
2001;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;1.3763663054132826
2002;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;1.5175320803274654
2003;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;1.7175169281225577
2004;Feinstaub PM10;Messwerte;7;2015;Kanton Zürich;relative Immission;1.4469491928703742
2005;Feinstaub PM10;Messwerte;6;2015;Kanton Zürich;relative Immission;1.42162952096588
2006;Feinstaub PM10;Messwerte;7;2015;Kanton Zürich;relative Immission;1.5477150387564735
2007;Feinstaub PM10;Messwerte;8;2015;Kanton Zürich;relative Immission;1.2293186232110087
2008;Feinstaub PM10;Messwerte;7;2015;Kanton Zürich;relative Immission;1.2107595252561698
2009;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;1.1940118329981577
2010;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;1.1469719211777356
2011;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;1.1335174988110834
2012;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;1.0167113782447013
2013;Feinstaub PM10;Messwerte;8;2015;Kanton Zürich;relative Immission;1.1035915991408587
2014;Feinstaub PM10;Messwerte;7;2015;Kanton Zürich;relative Immission;0.9492302863628296
2015;Feinstaub PM10;Messwerte;10;2015;Kanton Zürich;relative Immission;1
2016;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;0.852876556773188
2017;Feinstaub PM10;Messwerte;12;2015;Kanton Zürich;relative Immission;0.8622489490102917
2018;Feinstaub PM10;Messwerte;10;2015;Kanton Zürich;relative Immission;0.9170161468298421
2019;Feinstaub PM10;Messwerte;11;2015;Kanton Zürich;relative Immission;0.7999393911803694
2020;Feinstaub PM10;Messwerte;7;2015;Kanton Zürich;relative Immission;0.711710781859005
2021;Feinstaub PM10;Messwerte;9;2015;Kanton Zürich;relative Immission;0.7587660401637327
2022;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;0.8380021143498025
2023;Feinstaub PM10;Messwerte;5;2015;Kanton Zürich;relative Immission;0.7474905062391644
2024;Feinstaub PM10;Messwerte;6;2015;Kanton Zürich;relative Immission;0.6563673221127212
1995;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
1996;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
1997;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
1998;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
1999;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
2000;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
2001;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
2002;Russ im Feinstaub;Messwerte;0;2020;Kanton Zürich;relative Immission;NA
2003;Russ im Feinstaub;Messwerte;2;2020;Kanton Zürich;relative Immission;NA
2004;Russ im Feinstaub;Messwerte;2;2020;Kanton Zürich;relative Immission;NA
2005;Russ im Feinstaub;Messwerte;2;2020;Kanton Zürich;relative Immission;NA
2006;Russ im Feinstaub;Messwerte;2;2020;Kanton Zürich;relative Immission;NA
2007;Russ im Feinstaub;Messwerte;5;2020;Kanton Zürich;relative Immission;3.6024096385542173
2008;Russ im Feinstaub;Messwerte;4;2020;Kanton Zürich;relative Immission;4.763343192771084
2009;Russ im Feinstaub;Messwerte;6;2020;Kanton Zürich;relative Immission;3.2859377807228913
2010;Russ im Feinstaub;Messwerte;9;2020;Kanton Zürich;relative Immission;2.5783132530120483
2011;Russ im Feinstaub;Messwerte;9;2020;Kanton Zürich;relative Immission;2.698795180722892
2012;Russ im Feinstaub;Messwerte;8;2020;Kanton Zürich;relative Immission;2.0120481927710845
2013;Russ im Feinstaub;Messwerte;8;2020;Kanton Zürich;relative Immission;2.071146655421687
2014;Russ im Feinstaub;Messwerte;8;2020;Kanton Zürich;relative Immission;1.934251290361446
2015;Russ im Feinstaub;Messwerte;11;2020;Kanton Zürich;relative Immission;1.686746987951807
2016;Russ im Feinstaub;Messwerte;8;2020;Kanton Zürich;relative Immission;1.6386589843373496
2017;Russ im Feinstaub;Messwerte;12;2020;Kanton Zürich;relative Immission;1.4096385542168675
2018;Russ im Feinstaub;Messwerte;12;2020;Kanton Zürich;relative Immission;1.1674698795180722
2019;Russ im Feinstaub;Messwerte;12;2020;Kanton Zürich;relative Immission;1.129234743373494
2020;Russ im Feinstaub;Messwerte;12;2020;Kanton Zürich;relative Immission;1
2021;Russ im Feinstaub;Messwerte;11;2020;Kanton Zürich;relative Immission;0.9084337349397591
2022;Russ im Feinstaub;Messwerte;8;2020;Kanton Zürich;relative Immission;0.9939759036144579
2023;Russ im Feinstaub;Messwerte;9;2020;Kanton Zürich;relative Immission;0.7652624216867471
2024;Russ im Feinstaub;Messwerte;10;2020;Kanton Zürich;relative Immission;0.8044756795180723
1995;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
1997;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
1998;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
1999;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2000;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2001;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2002;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2003;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
2004;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
2005;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
2006;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
2007;Feinstaub PM2.5;Messwerte;0;2021;Kanton Zürich;relative Immission;NA
2008;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2009;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2010;Feinstaub PM2.5;Messwerte;1;2021;Kanton Zürich;relative Immission;NA
2011;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2012;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2013;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2014;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2015;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2016;Feinstaub PM2.5;Messwerte;2;2021;Kanton Zürich;relative Immission;NA
2017;Feinstaub PM2.5;Messwerte;4;2021;Kanton Zürich;relative Immission;1.117480999446376
2018;Feinstaub PM2.5;Messwerte;6;2021;Kanton Zürich;relative Immission;1.2022153818836165
2019;Feinstaub PM2.5;Messwerte;8;2021;Kanton Zürich;relative Immission;1.089366713595639
2020;Feinstaub PM2.5;Messwerte;7;2021;Kanton Zürich;relative Immission;0.9585623540988081
2021;Feinstaub PM2.5;Messwerte;9;2021;Kanton Zürich;relative Immission;1
2022;Feinstaub PM2.5;Messwerte;6;2021;Kanton Zürich;relative Immission;1.0139375150966226
2023;Feinstaub PM2.5;Messwerte;6;2021;Kanton Zürich;relative Immission;0.8806076993366988
2024;Feinstaub PM2.5;Messwerte;7;2021;Kanton Zürich;relative Immission;0.7851604603305589
1995;Stickoxide | Stickstoffdioxid;gemessen;1;2015;Kanton Zürich;relative Immission;NA
1995;Stickoxide | Stickstoffdioxid;Trend;1;2015;Kanton Zürich;relative Immission;NA
1995;Feinstaub PM10;gemessen;0;2015;Kanton Zürich;relative Immission;NA
1995;Feinstaub PM10;Trend;0;2015;Kanton Zürich;relative Immission;NA
1995;Feinstaub PM2.5;gemessen;0;2021;Kanton Zürich;relative Immission;NA
1995;Feinstaub PM2.5;Trend;0;2021;Kanton Zürich;relative Immission;NA
1995;Russ im Feinstaub;gemessen;0;2020;Kanton Zürich;relative Immission;NA
1995;Russ im Feinstaub;Trend;0;2020;Kanton Zürich;relative Immission;NA
1996;Stickoxide | Stickstoffdioxid;gemessen;1;2015;Kanton Zürich;relative Immission;NA
1996;Stickoxide | Stickstoffdioxid;Trend;1;2015;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM10;gemessen;0;2015;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM10;Trend;0;2015;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM2.5;gemessen;0;2021;Kanton Zürich;relative Immission;NA
1996;Feinstaub PM2.5;Trend;0;2021;Kanton Zürich;relative Immission;NA
1996;Russ im Feinstaub;gemessen;0;2020;Kanton Zürich;relative Immission;NA
1996;Russ im Feinstaub;Trend;0;2020;Kanton Zürich;relative Immission;NA
1997;Stickoxide | Stickstoffdioxid;gemessen;1;2015;Kanton Zürich;relative Immission;NA
