Standort;Standortklasse;Messgrösse;Einheit;Messwert;Jahr
Zürich_Rosengarten;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;49.72;2005
Zürich_Rosengarten;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;52.72;2006
Zürich_Rosengarten;städtisch / verkehrsbelastet;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;51.09;2007
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;26.32;2000
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.23;2001
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.4;2002
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;25.74;2003
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.04;2004
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.85;2005
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;24.76;2006
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.11;2007
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.61;2008
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.2;2009
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;23.54;2010
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;22.07;2011
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.56;2012
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.11;2013
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.28;2014
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;20.15;2015
Zürich_Meientalstrasse;städtisch / Hintergrund;Stickstoffdioxid Jahresmittel (NO2, µg/m3);µg/m3;18.85;2016
