empfindl. Ökosystem;Überschreitung Critical Load;Anteil an Ökosystem-Gesamtfläche
Trockenwiesen/-weiden;6.649662;0.594936708860759
Wald;6.6507683;0.326226012793177
Wald;6.6524315;0.328358208955224
Trockenwiesen/-weiden;6.652519;0.607594936708861
Flachmoore;6.6546803;0.0849335302806499
Wald;6.659132;0.330490405117271
Wald;6.663702;0.332622601279318
Flachmoore;6.6682396;0.085672082717873
Wald;6.6714725;0.334754797441365
Flachmoore;6.684946;0.086410635155096
Wald;6.700981;0.336886993603412
Wald;6.706609;0.339019189765458
Flachmoore;6.71603;0.0871491875923191
Flachmoore;6.753639;0.0878877400295421
Flachmoore;6.7707233;0.0886262924667651
Trockenwiesen/-weiden;6.7815685;0.620253164556962
Flachmoore;6.784889;0.0893648449039882
Flachmoore;6.786228;0.0901033973412112
Flachmoore;6.7970524;0.0908419497784343
Flachmoore;6.7971897;0.0915805022156573
Flachmoore;6.8036213;0.0923190546528804
Wald;6.811225;0.341151385927505
Flachmoore;6.8263874;0.0930576070901034
Trockenwiesen/-weiden;6.832512;0.632911392405063
Flachmoore;6.839077;0.0937961595273264
Flachmoore;6.8684616;0.0945347119645495
Flachmoore;6.8756733;0.0952732644017725
Flachmoore;6.8763924;0.0960118168389956
Trockenwiesen/-weiden;6.9134674;0.645569620253165
Wald;6.9274216;0.343283582089552
Trockenwiesen/-weiden;6.939165;0.658227848101266
Flachmoore;6.9480057;0.0967503692762186
Trockenwiesen/-weiden;6.952141;0.670886075949367
Wald;6.963826;0.345415778251599
Flachmoore;6.96669;0.0974889217134417
Flachmoore;6.9698944;0.0982274741506647
Flachmoore;6.9790993;0.0989660265878877
Flachmoore;6.980341;0.0997045790251108
Flachmoore;6.997772;0.100443131462334
Flachmoore;6.999876;0.101181683899557
Flachmoore;7.0052013;0.10192023633678
Flachmoore;7.0137444;0.102658788774003
Trockenwiesen/-weiden;7.017086;0.683544303797468
Flachmoore;7.029909;0.103397341211226
Flachmoore;7.030998;0.104135893648449
Flachmoore;7.0333633;0.104874446085672
Flachmoore;7.0441093;0.105612998522895
Flachmoore;7.0546913;0.106351550960118
Wald;7.065954;0.347547974413646
Flachmoore;7.0685654;0.107090103397341
Wald;7.0707426;0.349680170575693
Flachmoore;7.076288;0.107828655834564
Flachmoore;7.079096;0.108567208271787
Wald;7.08626;0.35181236673774
Flachmoore;7.0947685;0.10930576070901
Flachmoore;7.101448;0.110044313146233
Flachmoore;7.112686;0.110782865583456
Trockenwiesen/-weiden;7.114168;0.69620253164557
Wald;7.1144905;0.353944562899787
Flachmoore;7.1252365;0.111521418020679
Flachmoore;7.1420803;0.112259970457903
Wald;7.1423016;0.356076759061834
Flachmoore;7.1520977;0.112998522895126
Flachmoore;7.1633015;0.113737075332349
Flachmoore;7.167288;0.114475627769572
Flachmoore;7.1909714;0.115214180206795
Trockenwiesen/-weiden;7.2202206;0.708860759493671
Flachmoore;7.230541;0.115952732644018
Flachmoore;7.2418194;0.116691285081241
Flachmoore;7.244255;0.117429837518464
Wald;7.247575;0.358208955223881
Flachmoore;7.2479534;0.118168389955687
Flachmoore;7.2676373;0.11890694239291
Flachmoore;7.2739887;0.119645494830133
Flachmoore;7.277117;0.120384047267356
Flachmoore;7.280258;0.121122599704579
Flachmoore;7.2954025;0.121861152141802
Flachmoore;7.2963276;0.122599704579025
Flachmoore;7.3090343;0.123338257016248
Flachmoore;7.3227444;0.124076809453471
