vehicle_model_year;vehicle_type;vehicle_fuel_type;NOx_emission;unit;n;standarderror;NOx_emission_threshold_g_per_kg_fuel;source
2012;passenger car;gasoline;1.3476346264258279;g/kg fuel;12988;0.049132985499342766;1;Kanton Zürich/AWEL
2012;passenger car;diesel;16.104246049321986;g/kg fuel;9410;0.13437523912872407;3.5;Kanton Zürich/AWEL
2012;light duty vehicle;gasoline;0.8170030078270109;g/kg fuel;254;0.10253711683736998;1;Kanton Zürich/AWEL
2012;light duty vehicle;diesel;24.49671595064051;g/kg fuel;2822;0.3046263465572926;3.5;Kanton Zürich/AWEL
2013;passenger car;gasoline;1.1571141980543607;g/kg fuel;12265;0.042701633500337496;1;Kanton Zürich/AWEL
2013;passenger car;diesel;13.01805848134788;g/kg fuel;10192;0.1169771646433808;1.6;Kanton Zürich/AWEL
2013;light duty vehicle;gasoline;2.1325906530641037;g/kg fuel;487;0.31393423963829636;1;Kanton Zürich/AWEL
2013;light duty vehicle;diesel;22.64290779626039;g/kg fuel;3877;0.2399210954263461;1.6;Kanton Zürich/AWEL
2014;passenger car;gasoline;1.4561569743480611;g/kg fuel;7436;0.0720983412170468;1;Kanton Zürich/AWEL
2014;passenger car;diesel;11.037797497905235;g/kg fuel;5251;0.16464668189315065;1.6;Kanton Zürich/AWEL
2014;light duty vehicle;gasoline;5.139936854220671;g/kg fuel;146;1.1320064946041515;1;Kanton Zürich/AWEL
2014;light duty vehicle;diesel;26.001017305767313;g/kg fuel;2297;0.3237886068107095;1.6;Kanton Zürich/AWEL
2015;passenger car;gasoline;1.0273177095854897;g/kg fuel;12360;0.03615989024996149;1;Kanton Zürich/AWEL
2015;passenger car;diesel;8.71191756084895;g/kg fuel;11348;0.10132333533051856;1.6;Kanton Zürich/AWEL
2015;light duty vehicle;gasoline;1.8127890419280501;g/kg fuel;478;0.25846378832293965;1;Kanton Zürich/AWEL
2015;light duty vehicle;diesel;14.39832781266587;g/kg fuel;2065;0.3413178221601355;1.6;Kanton Zürich/AWEL
2016;passenger car;gasoline;0.9327412791773958;g/kg fuel;5908;0.04696535357922244;1;Kanton Zürich/AWEL
2016;passenger car;diesel;7.577496736090901;g/kg fuel;5968;0.1326063586591099;1.6;Kanton Zürich/AWEL
2016;light duty vehicle;gasoline;1.538290560556237;g/kg fuel;147;0.5167970591389356;1;Kanton Zürich/AWEL
2016;light duty vehicle;diesel;7.244995573646725;g/kg fuel;4140;0.16398390651464873;1.6;Kanton Zürich/AWEL
