year;geodb_oid;bfs;municipality;admin_boundary;parameter;unit;pop_weighted_mean;source
2015;3008;57;Freienstein-Teufen;municipality;NO2;μg/m3;17.151554861534027;OSTLUFT, BAFU, BFS
2015;3009;223;Neftenbach;municipality;NO2;μg/m3;17.801039982646614;OSTLUFT, BAFU, BFS
2015;3010;221;Hettlingen;municipality;NO2;μg/m3;16.99956845311727;OSTLUFT, BAFU, BFS
2015;3011;24;Buch am Irchel;municipality;NO2;μg/m3;14.49763073060382;OSTLUFT, BAFU, BFS
2015;3012;225;Rickenbach (ZH);municipality;NO2;μg/m3;19.0310479827857;OSTLUFT, BAFU, BFS
2015;3013;102;Weiach;municipality;NO2;μg/m3;14.945050003176386;OSTLUFT, BAFU, BFS
2015;3014;31;Henggart;municipality;NO2;μg/m3;16.411870300796192;OSTLUFT, BAFU, BFS
2015;3015;23;Berg am Irchel;municipality;NO2;μg/m3;15.259539463290073;OSTLUFT, BAFU, BFS
2015;3016;218;Ellikon an der Thur;municipality;NO2;μg/m3;17.259587068152374;OSTLUFT, BAFU, BFS
2015;3017;216;Dinhard;municipality;NO2;μg/m3;16.25650683495306;OSTLUFT, BAFU, BFS
2015;3018;58;Glattfelden;municipality;NO2;μg/m3;15.59097634834894;OSTLUFT, BAFU, BFS
2015;3019;58;Glattfelden;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;3020;214;Dägerlen;municipality;NO2;μg/m3;15.411337677491915;OSTLUFT, BAFU, BFS
2015;3021;43;Volken;municipality;NO2;μg/m3;15.490406522518251;OSTLUFT, BAFU, BFS
2015;3022;26;Dorf;municipality;NO2;μg/m3;15.242488101789146;OSTLUFT, BAFU, BFS
2015;3023;55;Eglisau;municipality;NO2;μg/m3;16.985694483785963;OSTLUFT, BAFU, BFS
2015;3024;211;Altikon;municipality;NO2;μg/m3;16.145802229243134;OSTLUFT, BAFU, BFS
2015;3025;39;Thalheim an der Thur;municipality;NO2;μg/m3;15.466539783602991;OSTLUFT, BAFU, BFS
2015;3026;28;Flaach;municipality;NO2;μg/m3;15.817912527710009;OSTLUFT, BAFU, BFS
2015;3027;91;Niederweningen;municipality;NO2;μg/m3;16.979349807927324;OSTLUFT, BAFU, BFS
2015;3028;152;Herrliberg;municipality;NO2;μg/m3;19.31338581738171;OSTLUFT, BAFU, BFS
2015;3029;5;Hedingen;municipality;NO2;μg/m3;19.165869976972978;OSTLUFT, BAFU, BFS
2015;3030;151;Erlenbach (ZH);municipality;NO2;μg/m3;20.39439982242526;OSTLUFT, BAFU, BFS
2015;3031;139;Rüschlikon;municipality;NO2;μg/m3;23.204278976188114;OSTLUFT, BAFU, BFS
2015;3032;120;Wald (ZH);municipality;NO2;μg/m3;16.068077649599537;OSTLUFT, BAFU, BFS
2015;3033;192;Egg;municipality;NO2;μg/m3;18.96197347806198;OSTLUFT, BAFU, BFS
2015;3034;196;Mönchaltorf;municipality;NO2;μg/m3;19.39926787192453;OSTLUFT, BAFU, BFS
2015;3035;115;Gossau (ZH);municipality;NO2;μg/m3;18.98972242480523;OSTLUFT, BAFU, BFS
2015;3036;117;Hinwil;municipality;NO2;μg/m3;17.628210817045723;OSTLUFT, BAFU, BFS
2015;3037;131;Adliswil;municipality;NO2;μg/m3;22.27732730404085;OSTLUFT, BAFU, BFS
2015;3038;3;Bonstetten;municipality;NO2;μg/m3;18.495856519663157;OSTLUFT, BAFU, BFS
2015;3039;135;Kilchberg (ZH);municipality;NO2;μg/m3;22.654340372017934;OSTLUFT, BAFU, BFS
2015;3040;154;Küsnacht (ZH);municipality;NO2;μg/m3;20.388822086903904;OSTLUFT, BAFU, BFS
2015;3041;196;Mönchaltorf;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;3042;241;Aesch (ZH);municipality;NO2;μg/m3;19.931960102738135;OSTLUFT, BAFU, BFS
2015;3043;0;;municipality;NO2;μg/m3;NA;OSTLUFT, BAFU, BFS
2015;3044;138;Richterswil;municipality;NO2;μg/m3;21.311266574711453;OSTLUFT, BAFU, BFS
2015;3045;6;Kappel am Albis;municipality;NO2;μg/m3;16.89276683463483;OSTLUFT, BAFU, BFS
2015;3046;7;Knonau;municipality;NO2;μg/m3;22.26177295899854;OSTLUFT, BAFU, BFS
2015;3047;8;Maschwanden;municipality;NO2;μg/m3;17.63189804241727;OSTLUFT, BAFU, BFS
2015;3048;293;Wädenswil;municipality;NO2;μg/m3;18.952860493929148;OSTLUFT, BAFU, BFS
2015;3049;12;Rifferswil;municipality;NO2;μg/m3;16.33952933229426;OSTLUFT, BAFU, BFS
2015;3050;158;Stäfa;municipality;NO2;μg/m3;19.461396703577993;OSTLUFT, BAFU, BFS
2015;3051;9;Mettmenstetten;municipality;NO2;μg/m3;19.59453548917275;OSTLUFT, BAFU, BFS
2015;3052;153;Hombrechtikon;municipality;NO2;μg/m3;18.655242850706212;OSTLUFT, BAFU, BFS
