year;site;site_long;source;parameter;interval;unit;value
2003;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;NA
2004;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;38.52210602
2005;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;NA
2006;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;43.28948218
2007;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;NA
2008;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;44.56269164
2009;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;42.10364587
2010;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;45.69803521
2011;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;41.59400411
2012;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;42.39512685
2013;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;48.29234604
2014;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;41.13137565
2015;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;39.8914109
2016;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;40.25116121
2017;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;38.06625064
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;33.53188022
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;33.42757249
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;26.86502915
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;26.95319057
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;NO2;y1;µg/m3;26.32482702
2002;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;126.5123722
2003;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2004;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;135.2754289
2005;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2006;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;155.8805994
2007;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2008;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;130.8607778
2009;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;117.98557219999999
2010;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;144.5275005
2011;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;135.0573659
2012;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;124.491268
2013;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;139.9775366
2014;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;121.0012148
2015;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;147.0278352
2016;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;116.9685586
2017;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;121.3274304
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;147.8770464
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;134.3332416
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;120.6904247
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;119.6951961
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_max_98%_m1;y1;µg/m3;125.5406193
2002;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;38
2003;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;NA
2004;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;85
2005;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;NA
2006;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;178
2007;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;NA
2008;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;50
2009;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;21
2010;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;104
2011;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;84
2012;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;44
2013;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;99
2014;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;23
2015;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;117
2016;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;25
2017;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;31
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;166
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;90
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;42
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;18
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_nb_h1>120;y1;1;50
2001;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;71.07052326488451
2002;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;67.5009398896413
2003;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2004;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;71.83802407892308
2005;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2006;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;75.28974960092008
2007;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2008;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;72.2330272155197
2009;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;72.55227969071467
2010;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;73.22533946877049
2011;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.99203095891916
2012;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;69.90726852426087
2013;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;68.87189739884171
2014;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;69.2265303905659
2015;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.92590562207582
2016;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;68.21823063097199
2017;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;74.1714859038587
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;85.97560254463798
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;78.44187985557744
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;77.68321920899456
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;70.49350757410326
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;82.14632279883152
2004;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;25.94793747
2005;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;NA
2006;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;27.81942687
2007;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;NA
2008;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;22.22104933
2009;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;22.31253469
2010;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;21.54124
2011;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;21.91789711
2012;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;18.37860091
2013;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;20.43618153
2014;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;16.13813751
2015;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;17.00257607
2016;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;16.02349692
2017;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;16.96583205
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;16.37712406
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;14.87596628
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;13.76737049
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;14.06976642
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM10;y1;µg/m3;14.24711532
2018;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM2.5;y1;µg/m3;10.6858618
2019;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM2.5;y1;µg/m3;9.550521265
2020;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM2.5;y1;µg/m3;9.193927409
2021;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM2.5;y1;µg/m3;8.760592213
2022;Opf_Balsberg;Opfikon - Balsberg;OSTLUFT;PM2.5;y1;µg/m3;8.799808502
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;NO2;y1;µg/m3;25.35422553
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;NO2;y1;µg/m3;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;NO2;y1;µg/m3;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;NO2;y1;µg/m3;19.1938175
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_max_98%_m1;y1;µg/m3;160.6368648
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_max_98%_m1;y1;µg/m3;146.8552357
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_nb_h1>120;y1;1;296
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_nb_h1>120;y1;1;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_nb_h1>120;y1;1;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_nb_h1>120;y1;1;267
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;95.68658115885192
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;96.79578767426912
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM10;y1;µg/m3;14.26115409
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM10;y1;µg/m3;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM10;y1;µg/m3;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM10;y1;µg/m3;14.13612753
2019;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM2.5;y1;µg/m3;9.827726502
2020;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM2.5;y1;µg/m3;NA
2021;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM2.5;y1;µg/m3;NA
2022;Opf_Glattpark;Opfikon - Glattpark;OSTLUFT;PM2.5;y1;µg/m3;9.348791859
2015;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;25.90044882
2016;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2017;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;22.21493349
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;NO2;y1;µg/m3;16.99638113
2015;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;178.9379634
2016;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2017;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;165.076242
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;141.100022
2015;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;361
2016;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;NA
2017;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;NA
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;467
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_nb_h1>120;y1;1;111
2015;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;97.55188016103142
2016;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2017;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;104.18879106515028
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;86.06574983916667
2015;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;15.75401957
2016;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2017;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;15.38091129
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM10;y1;µg/m3;12.32579278
2018;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM2.5;y1;µg/m3;10.52650332
2019;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM2.5;y1;µg/m3;NA
2020;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM2.5;y1;µg/m3;NA
2021;Sch_Güterstrasse;Schlieren - Güterstrasse;OSTLUFT;PM2.5;y1;µg/m3;8.445772367
2020;Ust_Bildungszentrum;Uster - Bildungszentrum;OSTLUFT;NO2;y1;µg/m3;12.55922016
2020;Ust_Bildungszentrum;Uster - Bildungszentrum;OSTLUFT;O3_max_98%_m1;y1;µg/m3;137.1410938
2020;Ust_Bildungszentrum;Uster - Bildungszentrum;OSTLUFT;O3_nb_h1>120;y1;1;244
2020;Ust_Bildungszentrum;Uster - Bildungszentrum;OSTLUFT;O3_peakseason_mean_d1_max_mean_h8gl;y1;µg/m3;92.27070451721468
2020;Ust_Bildungszentrum;Uster - Bildungszentrum;OSTLUFT;PM2.5;y1;µg/m3;8.572169214
1991;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;36.29776125
1992;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;33.88511506
1993;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;29.98393378
1994;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;28.25451882
1995;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;26.51278714
1996;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;26.12168744
1997;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;26.11044584
1998;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;NA
1999;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;25.36961132
2000;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;23.80031333
2001;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;22.67668668
2002;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;23.40410805
2003;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;25.13070888
2004;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;22.81100309
2005;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;23.54622405
2006;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;26.00708241
2007;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;23.03598151
2008;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;22.50686073
2009;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;22.96124229
2010;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;23.25
2011;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;21.84046729
2012;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;21.73
2013;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;21.63
2014;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;19.75
2015;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;21.01
2016;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;19.87
2017;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;18.99
2018;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;16.97
2019;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;16.62
2020;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;NA
2021;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;NO2;y1;µg/m3;14.67
1991;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;180.3240536
1992;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;164.7630484
1993;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;159.5401383
1994;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;186.4447112
1995;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;171.1709968
1996;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;151.4005451
1997;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;171.9530321
1998;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;172.5674906
1999;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;145.1482141
2000;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;149.8244888
2001;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;161.4644376
2002;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;165.5980068
2003;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;201.4438577
2004;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;158.3555175
2005;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;153.9416654
2006;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;181.0660827
2007;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_max_98%_m1;y1;µg/m3;153.1235687
1991;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;576
1992;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;236
1993;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;372
1994;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;435
1995;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;319
1996;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;268
1997;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;315
1998;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;NA
1999;Wal_Dietlikonerstrasse;Wallisellen - Dietlikonerstrasse;OSTLUFT;O3_nb_h1>120;y1;1;212
