year;site;site_long;source;parameter;interval;unit;value
2011;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;25.29907313
2012;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;23.16
2013;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;22.31
2014;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;21.55
2015;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;22.29
2016;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;20.97
2017;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;18.75
2018;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;18.96
2019;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;18.23
2020;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;15.52
2021;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;14.94
2022;8000_0110;Zürich - Wachtelstrasse;OSTLUFT;NO2;y1;µg/m3;14.88
2004;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;40.94
2005;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;36.71
2006;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;38.36
2007;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;35.73
2008;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;34.57
2009;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;35.68
2010;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;34.74
2011;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;33.62
2012;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;31.72
2013;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;32.38
2014;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;29.86
2015;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;30.31
2016;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;28.45
2017;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;27.15
2018;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;25.5
2019;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;24.55
2020;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;19.44
2021;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;19.94
2022;8000_0130;Zürich - Limmatquai 18;OSTLUFT;NO2;y1;µg/m3;19.73
1994;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;37.03
1995;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;34.85
2000;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2001;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2002;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2003;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2004;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;31.88
2005;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2006;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;33.1386
2007;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2008;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;29.79984682
2009;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2010;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2011;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2012;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;27.55
2013;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2014;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2015;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2016;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2017;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2018;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2019;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;NA
2020;8000_0280;Zürich - Eichbühlstrasse 43;OSTLUFT;NO2;y1;µg/m3;17.48
1994;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;30.02
1995;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;29.13
2000;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2001;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2002;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2003;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2004;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;25.44
2005;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2006;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2007;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2008;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;24.50922234
2009;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2010;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2011;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2012;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;23.91
2013;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2014;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2015;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2016;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2017;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2018;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2019;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;NA
2020;8000_0300;Zürich - Birchstrasse 579;OSTLUFT;NO2;y1;µg/m3;16.33
1994;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;32.38
1995;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;30.99
2000;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2001;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2002;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2003;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2004;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;25.38
2005;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2006;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2007;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2008;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;25.38404792
2009;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2010;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2011;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2012;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;22.83
2013;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2014;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2015;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2016;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2017;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2018;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2019;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;NA
2020;8000_0310;Zürich - Schulhaus Seefeld;OSTLUFT;NO2;y1;µg/m3;14.51
1994;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;34.61
1995;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
1999;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;35.89
2000;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2001;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2002;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2003;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2004;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;29.69
2005;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2006;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2007;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2008;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;27.99313885
2009;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2010;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2011;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2012;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;26.5
2013;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2014;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2015;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2016;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2017;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2018;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2019;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;NA
2020;8000_0320;Zürich - Josefstrasse 175;OSTLUFT;NO2;y1;µg/m3;17.6
1994;8000_0340;Zürich - Strandbad Mythenquai;OSTLUFT;NO2;y1;µg/m3;35.54
1995;8000_0340;Zürich - Strandbad Mythenquai;OSTLUFT;NO2;y1;µg/m3;NA
1996;8000_0340;Zürich - Strandbad Mythenquai;OSTLUFT;NO2;y1;µg/m3;NA
1997;8000_0340;Zürich - Strandbad Mythenquai;OSTLUFT;NO2;y1;µg/m3;NA
1998;8000_0340;Zürich - Strandbad Mythenquai;OSTLUFT;NO2;y1;µg/m3;NA
