year;pollutant;unit;sector;subsector_new;emission
2020;PM2.5;t/a;Haushalte;Haushalte / Haushalte andere Feuerwerk etc;129.923833995
2020;PM2.5;t/a;Industrie;Industrie / Punktquellen KVA;7.285087284
2020;PM2.5;t/a;Industrie;Industrie / weitere;91.933738684907
2020;PM2.5;t/a;Industrie;Industrie / Flächenquellen Industrie;354.586585359
2020;PM2.5;t/a;Land- und Forstw.;Land- und Forstw. / weitere;52.992700500527
2020;PM2.5;t/a;Verkehr;Verkehr / Flugverkehr Zürich;15.8962514
2020;PM2.5;t/a;Verkehr;Verkehr / Strassenverkehr;366.945977589
2020;PM2.5;t/a;Verkehr;Verkehr / weitere;38.67663758
2020;PM2.5;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren ;2.374923229
2020;SO2;t/a;Dienstleistungen;Dienstleistungen / weitere;123.85597362985
2020;SO2;t/a;Haushalte;Haushalte / weitere;151.41538119500999
2020;SO2;t/a;Industrie;Industrie / Punktquellen KVA;46.198114482
2020;SO2;t/a;Industrie;Industrie / weitere;31.5714468962005
2020;SO2;t/a;Industrie;Industrie / Flächenquellen Industrie;424.668949335
2020;SO2;t/a;Land- und Forstw.;Land- und Forstw. / weitere;2.5207632432789002
2020;SO2;t/a;Verkehr;Verkehr / Flugverkehr Zürich;36.265740543
2020;SO2;t/a;Verkehr;Verkehr / weitere;21.0441913202
2020;eBC;t/a;Dienstleistungen;Dienstleistungen / weitere;0.21355329461
2020;eBC;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;38.877047911
2020;eBC;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;81.050297562
2020;eBC;t/a;Haushalte;Haushalte / weitere;8.68407384723
2020;eBC;t/a;Industrie;Industrie / weitere;6.323024157917
2020;eBC;t/a;Industrie;Industrie / Flächenquellen Industrie;26.177138282
2020;eBC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;16.8172974643816
2020;eBC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;6.014904426
2020;eBC;t/a;Verkehr;Verkehr / Strassenverkehr;69.127422002
2020;eBC;t/a;Verkehr;Verkehr / weitere;3.668898404
2021;CO;t/a;Dienstleistungen;Dienstleistungen / weitere;2360.320512293
2021;CO;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;2251.645951216
2021;CO;t/a;Haushalte;Haushalte / weitere;977.260645688
2021;CO;t/a;Industrie;Industrie / Punktquellen KVA;56.832984
2021;CO;t/a;Industrie;Industrie / weitere;1463.0755046947
2021;CO;t/a;Land- und Forstw.;Land- und Forstw. / weitere;1021.373455796
2021;CO;t/a;Verkehr;Verkehr / Flugverkehr Zürich;567.999997754
2021;CO;t/a;Verkehr;Verkehr / Strassenverkehr;4266.53628704
2021;CO;t/a;Verkehr;Verkehr / Zonenverkehr;3326.677126073
2021;CO;t/a;Verkehr;Verkehr / weitere;48.119705342
2021;NH3;t/a;Dienstleistungen;Dienstleistungen / weitere;6.885601385017
2021;NH3;t/a;Haushalte;Haushalte / weitere;87.754238500959
2021;NH3;t/a;Industrie;Industrie / Punktquellen KVA;3.6309962000000002
2021;NH3;t/a;Industrie;Industrie / weitere;90.6040185136263
2021;NH3;t/a;Land- und Forstw.;Land- und Forstw. / weitere;21.7637619336984
2021;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Weiden;1407.424622042
2021;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;1267.279398386
2021;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Landwirtschaftliche Nutzflächen;198.795053497
2021;NH3;t/a;Verkehr;Verkehr / Strassenverkehr;127.908280736
2021;NH3;t/a;Verkehr;Verkehr / weitere;0.0047620319
2021;NMVOC;t/a;Dienstleistungen;Dienstleistungen / weitere;194.034524358
2021;NMVOC;t/a;Haushalte;Haushalte / weitere;327.83871778
2021;NMVOC;t/a;Haushalte;Haushalte / Lösungsmittel Konsumprodukte;1262.212700183
2021;NMVOC;t/a;Industrie;Industrie / Punktquellen KVA;22.101716
2021;NMVOC;t/a;Industrie;Industrie / weitere;603.76961422999
2021;NMVOC;t/a;Industrie;Industrie / Lösungsmittel Industrie;5267.442704977
2021;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;193.8921005577
2021;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;941.668536947
2021;NMVOC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;41.665932163
2021;NMVOC;t/a;Verkehr;Verkehr / weitere;962.815114336
2021;NMVOC;t/a;natürl. Emissionen;natürl. Emissionen / Wälder;4289.386099001
2021;NOx;t/a;Dienstleistungen;Dienstleistungen / weitere;616.510890969
2021;NOx;t/a;Haushalte;Haushalte / weitere;556.372613121
2021;NOx;t/a;Industrie;Industrie / Punktquellen KVA;296.794472
2021;NOx;t/a;Industrie;Industrie / weitere;798.1056790014001
2021;NOx;t/a;Land- und Forstw.;Land- und Forstw. / weitere;382.2098122988
2021;NOx;t/a;Verkehr;Verkehr / Flugverkehr Zürich;611.000007387
2021;NOx;t/a;Verkehr;Verkehr / Strassenverkehr;3686.532896578
2021;NOx;t/a;Verkehr;Verkehr / weitere;150.07428135
2021;NOx;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren;17.01884842
2021;PM10;t/a;Dienstleistungen;Dienstleistungen / weitere;83.208635933
2021;PM10;t/a;Haushalte;Haushalte / weitere;230.961933155
2021;PM10;t/a;Industrie;Industrie / Punktquellen KVA;6.4726454
2021;PM10;t/a;Industrie;Industrie / weitere;3.2030429906799998
2021;PM10;t/a;Industrie;Industrie / Baumaschinen;266.999200131
2021;PM10;t/a;Industrie;Industrie / Flächenquellen Industrie;224.606702283
2021;PM10;t/a;Land- und Forstw.;Land- und Forstw. / weitere;138.02144414963
2021;PM10;t/a;Verkehr;Verkehr / Flugverkehr Zürich;10.000000382
2021;PM10;t/a;Verkehr;Verkehr / Strassenverkehr;447.52444965300003
2021;PM10;t/a;Verkehr;Verkehr / weitere;127.628893871
2021;PM2.5;t/a;Dienstleistungen;Dienstleistungen / weitere;2.576199732
2021;PM2.5;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;75.720466389
2021;PM2.5;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;89.444832789
2021;PM2.5;t/a;Haushalte;Haushalte / weitere;37.6262986508
2021;PM2.5;t/a;Haushalte;Haushalte / Haushalte andere Feuerwerk etc;57.136890736
2021;PM2.5;t/a;Industrie;Industrie / Punktquellen KVA;6.4726454
2021;PM2.5;t/a;Industrie;Industrie / weitere;45.57601427754
2021;PM2.5;t/a;Industrie;Industrie / Flächenquellen Industrie;154.216842238
2021;PM2.5;t/a;Land- und Forstw.;Land- und Forstw. / weitere;25.212005701603
2021;PM2.5;t/a;Verkehr;Verkehr / Flugverkehr Zürich;10.000000382
2021;PM2.5;t/a;Verkehr;Verkehr / Strassenverkehr;175.529648694
2021;PM2.5;t/a;Verkehr;Verkehr / weitere;21.876864023
2021;SO2;t/a;Dienstleistungen;Dienstleistungen / weitere;55.64595838018
2021;SO2;t/a;Haushalte;Haushalte / weitere;69.61995942164
2021;SO2;t/a;Industrie;Industrie / Punktquellen KVA;41.046043999999995
2021;SO2;t/a;Industrie;Industrie / weitere;11.8824792136119
2021;SO2;t/a;Industrie;Industrie / Flächenquellen Industrie;173.98058577199998
2021;SO2;t/a;Land- und Forstw.;Land- und Forstw. / weitere;1.2562489796396
2021;SO2;t/a;Verkehr;Verkehr / Flugverkehr Zürich;41.555881499
2021;SO2;t/a;Verkehr;Verkehr / weitere;8.4712976922
2021;eBC;t/a;Dienstleistungen;Dienstleistungen / weitere;0.10383341174
2021;eBC;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;20.751774637
2021;eBC;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;42.825092849
2021;eBC;t/a;Haushalte;Haushalte / weitere;2.74636611339
2021;eBC;t/a;Industrie;Industrie / weitere;2.708964226979
2021;eBC;t/a;Industrie;Industrie / Flächenquellen Industrie;3.885143069
2021;eBC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;7.8809238700698
2021;eBC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;3.74755708
2021;eBC;t/a;Verkehr;Verkehr / Strassenverkehr;29.583287361
2021;eBC;t/a;Verkehr;Verkehr / weitere;1.577636183
2030;CO;t/a;Dienstleistungen;Dienstleistungen / weitere;3113.796293041
2030;CO;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;3434.576389646
2030;CO;t/a;Haushalte;Haushalte / weitere;1999.007039623
2030;CO;t/a;Industrie;Industrie / Punktquellen KVA;54.575784
2030;CO;t/a;Industrie;Industrie / weitere;3147.1118755894
2030;CO;t/a;Land- und Forstw.;Land- und Forstw. / weitere;1664.554563025
2030;CO;t/a;Verkehr;Verkehr / Flugverkehr Zürich;2689.359295298
2030;CO;t/a;Verkehr;Verkehr / Strassenverkehr;6043.541554527
2030;CO;t/a;Verkehr;Verkehr / Zonenverkehr;4507.432258179
2030;CO;t/a;Verkehr;Verkehr / weitere;100.541549688
2030;NH3;t/a;Dienstleistungen;Dienstleistungen / weitere;7.389216742196
2030;NH3;t/a;Haushalte;Haushalte / weitere;104.728266680548
2030;NH3;t/a;Industrie;Industrie / Punktquellen KVA;5.6666030020000004
2030;NH3;t/a;Industrie;Industrie / weitere;188.3411834881103
2030;NH3;t/a;Land- und Forstw.;Land- und Forstw. / weitere;149.7889864770881
2030;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Weiden;2741.347138453
2030;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;2549.566271662
2030;NH3;t/a;Land- und Forstw.;Land- und Forstw. / Landwirtschaftliche Nutzflächen;381.970342627
2030;NH3;t/a;Verkehr;Verkehr / Strassenverkehr;253.888804153
2030;NH3;t/a;Verkehr;Verkehr / weitere;0.0121726351
2030;NMVOC;t/a;Dienstleistungen;Dienstleistungen / weitere;207.127046867
2030;NMVOC;t/a;Haushalte;Haushalte / weitere;420.395965536
2030;NMVOC;t/a;Haushalte;Haushalte / Lösungsmittel Konsumprodukte;3690.277903341
2030;NMVOC;t/a;Industrie;Industrie / Punktquellen KVA;56.058003645999996
2030;NMVOC;t/a;Industrie;Industrie / weitere;1372.40095258286
2030;NMVOC;t/a;Industrie;Industrie / Lösungsmittel Industrie;10394.791088598
2030;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;847.4400305767
2030;NMVOC;t/a;Land- und Forstw.;Land- und Forstw. / Ställe;1783.491502524
2030;NMVOC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;338.73927441
2030;NMVOC;t/a;Verkehr;Verkehr / weitere;1321.591901268
2030;NMVOC;t/a;natürl. Emissionen;natürl. Emissionen / Wälder;4289.386099001
2030;NMVOC;t/a;natürl. Emissionen;natürl. Emissionen / Emissionen aus Wäldern;4289.386099003
2030;NOx;t/a;Dienstleistungen;Dienstleistungen / weitere;829.999076793
2030;NOx;t/a;Haushalte;Haushalte / weitere;826.571226169
2030;NOx;t/a;Industrie;Industrie / Punktquellen KVA;661.07949471
2030;NOx;t/a;Industrie;Industrie / weitere;2170.3885175788
2030;NOx;t/a;Land- und Forstw.;Land- und Forstw. / weitere;655.16101387109
2030;NOx;t/a;Verkehr;Verkehr / Flugverkehr Zürich;3286.313855968
2030;NOx;t/a;Verkehr;Verkehr / Strassenverkehr;3998.025590771
2030;NOx;t/a;Verkehr;Verkehr / weitere;305.177510037
2030;NOx;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren;11.70423126
2030;PM10;t/a;Dienstleistungen;Dienstleistungen / weitere;76.9535132658
2030;PM10;t/a;Haushalte;Haushalte / weitere;467.1699260499
2030;PM10;t/a;Industrie;Industrie / Punktquellen KVA;11.690864004
2030;PM10;t/a;Industrie;Industrie / weitere;4.285331427483
2030;PM10;t/a;Industrie;Industrie / Baumaschinen;554.676076712
2030;PM10;t/a;Industrie;Industrie / Flächenquellen Industrie;544.369270357
2030;PM10;t/a;Land- und Forstw.;Land- und Forstw. / weitere;241.60351010484
2030;PM10;t/a;Verkehr;Verkehr / Flugverkehr Zürich;36.969413977
2030;PM10;t/a;Verkehr;Verkehr / Strassenverkehr;983.674721066
2030;PM10;t/a;Verkehr;Verkehr / weitere;242.233615717
2030;PM10;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren ;15.36158657
2030;PM2.5;t/a;Dienstleistungen;Dienstleistungen / weitere;3.8333357708
2030;PM2.5;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;69.95580018
2030;PM2.5;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;135.185705909
2030;PM2.5;t/a;Haushalte;Haushalte / weitere;90.4619585427
2030;PM2.5;t/a;Haushalte;Haushalte / Haushalte andere Feuerwerk etc;135.346334812
2030;PM2.5;t/a;Industrie;Industrie / Punktquellen KVA;6.2155754
2030;PM2.5;t/a;Industrie;Industrie / weitere;90.443185106195
2030;PM2.5;t/a;Industrie;Industrie / Flächenquellen Industrie;369.982888189
2030;PM2.5;t/a;Land- und Forstw.;Land- und Forstw. / weitere;35.386318196533
2030;PM2.5;t/a;Verkehr;Verkehr / Flugverkehr Zürich;36.969413977
2030;PM2.5;t/a;Verkehr;Verkehr / Strassenverkehr;365.388555937
2030;PM2.5;t/a;Verkehr;Verkehr / weitere;39.359805237
2030;PM2.5;t/a;Verkehr;Verkehr / Schienenverkehr Rangieren ;2.354578733
2030;SO2;t/a;Dienstleistungen;Dienstleistungen / weitere;45.58434952881
2030;SO2;t/a;Haushalte;Haushalte / weitere;64.36683019239
2030;SO2;t/a;Industrie;Industrie / Punktquellen KVA;39.415844
2030;SO2;t/a;Industrie;Industrie / weitere;33.0054928277498
2030;SO2;t/a;Industrie;Industrie / Flächenquellen Industrie;494.85103329599997
2030;SO2;t/a;Land- und Forstw.;Land- und Forstw. / weitere;2.1320808017861
2030;SO2;t/a;Verkehr;Verkehr / Flugverkehr Zürich;126.779692622
2030;SO2;t/a;Verkehr;Verkehr / weitere;18.4140056681
2030;eBC;t/a;Dienstleistungen;Dienstleistungen / weitere;0.16632365525
2030;eBC;t/a;Dienstleistungen;Dienstleistungen / Feuerungen Dienstleistungen Holz und Kohle;16.044604888
2030;eBC;t/a;Haushalte;Haushalte / Feuerungen Haushalte Holz und Kohle;53.114235213
2030;eBC;t/a;Haushalte;Haushalte / weitere;6.62150051368
2030;eBC;t/a;Industrie;Industrie / weitere;0.9102502803512
2030;eBC;t/a;Industrie;Industrie / Flächenquellen Industrie;21.306637219
2030;eBC;t/a;Land- und Forstw.;Land- und Forstw. / weitere;6.83350874277478
2030;eBC;t/a;Verkehr;Verkehr / Flugverkehr Zürich;8.698477549
2030;eBC;t/a;Verkehr;Verkehr / Strassenverkehr;44.704952016
2030;eBC;t/a;Verkehr;Verkehr / weitere;0.9261190902
